Дата,Доллар США,Евро,Индийская рупия,Украинская гривна
01/03/2020,"66,9909","73,7235","93,0752","27,2570"
02/03/2020,"66,9909","73,7235","93,0752","27,2570"
03/03/2020,"66,3274","73,4178","92,0013","26,8030"
04/03/2020,"66,4437","73,9385","90,9627","26,6400"
05/03/2020,"66,0784","73,7369","89,9008","26,4485"
06/03/2020,"66,1854","73,6842","90,3555","26,7627"
07/03/2020,"67,5175","75,8424","91,8043","27,2248"
08/03/2020,"67,5175","75,8424","91,8043","27,2248"
09/03/2020,"67,5175","75,8424","91,8043","27,2248"
10/03/2020,"67,5175","75,8424","91,8043","27,2248"
11/03/2020,"72,0208","81,8588","97,1292","28,4330"
12/03/2020,"71,4720","81,0207","97,0164","27,9528"
13/03/2020,"74,0274","83,6584","99,8010","28,6567"
14/03/2020,"73,1882","81,8610","98,9264","28,0454"
15/03/2020,"73,1882","81,8610","98,9264","28,0454"
16/03/2020,"73,1882","81,8610","98,9264","28,0454"
17/03/2020,"74,1262","82,7471","99,7594","28,1240"
18/03/2020,"73,8896","82,3056","99,7699","27,3767"
19/03/2020,"77,2131","84,8881","10,3788","28,4034"
20/03/2020,"80,1570","87,2669","10,6772","28,8383"
21/03/2020,"78,0443","84,1552","10,4069","27,8755"
22/03/2020,"78,0443","84,1552","10,4069","27,8755"
23/03/2020,"78,0443","84,1552","10,4069","27,8755"
24/03/2020,"80,8815","86,7050","10,6486","28,7703"
25/03/2020,"78,8493","85,4253","10,3514","28,3733"
26/03/2020,"77,7928","84,1485","10,1852","27,7831"
27/03/2020,"78,7223","85,9648","10,4462","27,9902"
28/03/2020,"77,7325","85,7389","10,3457","27,5213"
29/03/2020,"77,7325","85,7389","10,3457","27,5213"
30/03/2020,"77,7325","85,7389","10,3457","27,5213"
31/03/2020,"77,7325","85,7389","10,3457","27,5213"
01/04/2020,"77,7325","85,7389","10,3457","27,5213"
02/04/2020,"77,7325","85,7389","10,3457","27,5213"
03/04/2020,"77,7325","85,7389","10,3457","27,5213"
04/04/2020,"77,7325","85,7389","10,3457","27,5213"
05/04/2020,"77,7325","85,7389","10,3457","27,5213"
06/04/2020,"77,7325","85,7389","10,3457","27,5213"
07/04/2020,"76,4074","82,6346","10,0268","28,0394"
08/04/2020,"75,4550","82,0120","99,7673","27,8478"
09/04/2020,"75,7499","82,2341","99,1750","27,7828"
10/04/2020,"74,6050","81,0882","97,7881","27,3880"
11/04/2020,"73,7515","80,7358","97,1507","27,1095"
12/04/2020,"73,7515","80,7358","97,1507","27,1095"
13/04/2020,"73,7515","80,7358","97,1507","27,1095"
14/04/2020,"73,5245","80,5387","96,4066","27,1659"
15/04/2020,"73,3150","80,1186","96,1130","26,9888"
16/04/2020,"73,7145","80,6731","96,4408","27,1084"
17/04/2020,"74,7119","81,2791","97,1767","27,4941"
18/04/2020,"73,9441","80,1110","96,7804","27,3190"
19/04/2020,"73,9441","80,1110","96,7804","27,3190"
20/04/2020,"73,9441","80,1110","96,7804","27,3190"
21/04/2020,"74,6657","81,1019","97,5544","27,5755"
22/04/2020,"76,2562","82,6160","99,2790","28,1536"
23/04/2020,"77,0416","83,6826","10,0458","28,4512"
24/04/2020,"75,1290","81,1468","98,7617","27,8333"
25/04/2020,"74,7163","80,2528","97,7259","27,4855"
26/04/2020,"74,7163","80,2528","97,7259","27,4855"
27/04/2020,"74,7163","80,2528","97,7259","27,4855"
28/04/2020,"74,4960","80,7611","97,7029","27,4842"
29/04/2020,"74,5706","80,7749","97,8777","27,5677"
30/04/2020,"73,6894","80,0488","97,3794","27,3605"
01/05/2020,"72,7263","79,1189","96,8328","26,9798"
02/05/2020,"72,7263","79,1189","96,8328","26,9798"
03/05/2020,"72,7263","79,1189","96,8328","26,9798"
04/05/2020,"72,7263","79,1189","96,8328","26,9798"
05/05/2020,"72,7263","79,1189","96,8328","26,9798"
06/05/2020,"72,7263","79,1189","96,8328","26,9798"
07/05/2020,"73,9719","80,0598","97,6333","27,4603"
08/05/2020,"74,1169","80,0611","97,6707","27,6427"
09/05/2020,"73,8725","80,0039","97,7829","27,5448"
10/05/2020,"73,8725","80,0039","97,7829","27,5448"
11/05/2020,"73,8725","80,0039","97,7829","27,5448"
12/05/2020,"73,8725","80,0039","97,7829","27,5448"
13/05/2020,"73,4326","79,4394","97,2540","27,3938"
14/05/2020,"73,5819","79,7775","97,5047","27,5588"
15/05/2020,"73,9298","79,9033","97,8393","27,7208"
16/05/2020,"73,2056","79,1279","96,8648","27,4836"
17/05/2020,"73,2056","79,1279","96,8648","27,4836"
18/05/2020,"73,2056","79,1279","96,8648","27,4836"
19/05/2020,"72,9798","78,9422","96,1336","27,4623"
20/05/2020,"72,3918","79,1677","95,7057","27,3202"
21/05/2020,"72,3381","79,1813","95,4278","27,2226"
22/05/2020,"70,9240","77,7965","93,7931","26,4812"
23/05/2020,"71,8804","78,4431","94,6355","26,8697"
24/05/2020,"71,8804","78,4431","94,6355","26,8697"
25/05/2020,"71,8804","78,4431","94,6355","26,8697"
26/05/2020,"71,5962","77,8823","94,2012","26,6206"
27/05/2020,"71,1408","77,7854","93,9872","26,4449"
28/05/2020,"71,0635","77,9069","93,8547","26,3142"
29/05/2020,"71,1012","78,2611","93,8280","26,4440"
30/05/2020,"70,7520","78,5489","93,5638","26,2872"
31/05/2020,"70,7520","78,5489","93,5638","26,2872"
01/06/2020,"70,7520","78,5489","93,5638","26,2872"
02/06/2020,"69,7114","77,6376","92,2880","25,9886"
03/06/2020,"68,9831","76,7782","91,5350","25,7376"
04/06/2020,"68,3413","76,6243","90,5483","25,5239"
05/06/2020,"69,0151","77,3245","91,3182","25,8470"
06/06/2020,"68,6319","77,9658","90,8334","25,7973"
07/06/2020,"68,6319","77,9658","90,8334","25,7973"
08/06/2020,"68,6319","77,9658","90,8334","25,7973"
09/06/2020,"68,3123","77,1861","90,4159","25,7008"
10/06/2020,"68,6745","77,3481","90,8243","25,7763"
11/06/2020,"68,6183","77,9229","90,7710","25,7568"
12/06/2020,"69,1219","78,5225","91,2127","25,9902"
13/06/2020,"69,1219","78,5225","91,2127","25,9902"
14/06/2020,"69,1219","78,5225","91,2127","25,9902"
15/06/2020,"69,1219","78,5225","91,2127","25,9902"
16/06/2020,"70,3950","79,1451","92,5848","26,2220"
17/06/2020,"69,7524","79,0434","91,5206","26,0812"
18/06/2020,"69,4822","78,3829","91,2459","25,9480"
19/06/2020,"69,6180","78,2924","91,4391","25,9925"
20/06/2020,"69,5725","78,0047","91,3115","26,0290"
21/06/2020,"69,5725","78,0047","91,3115","26,0290"
22/06/2020,"69,5725","78,0047","91,3115","26,0290"
23/06/2020,"69,4835","77,8285","91,3871","26,0606"
24/06/2020,"68,8376","77,6832","91,0009","25,8741"
25/06/2020,"68,8376","77,7590","90,9017","25,8172"
26/06/2020,"69,4660","78,0589","91,8046","26,0441"
27/06/2020,"69,1284","77,5413","91,4207","25,9175"
28/06/2020,"69,1284","77,5413","91,4207","25,9175"
29/06/2020,"69,1284","77,5413","91,4207","25,9175"
30/06/2020,"69,9513","78,6812","92,5691","26,1743"
